,idSucursal,comercioId,banderaId,banderaDescripcion,comercioRazonSocial,provincia,localidad,direccion,lat,lng,sucursalNombre,sucursalTipo
1233,337,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Av Dr.Ricardo Balbin 2902,-34.5600965,-58.4714163,337 - Coghlan,Autoservicio
1234,338,15,1,Supermercados Dia,Dia Argentina S.A,Ar-B,Jose C. Paz,Gellyy Obes 4926,-34.522894,-58.751278000000006,338 - Jose C. Paz,Autoservicio
1235,339,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Lima 1457,-34.625376700000004,-58.38230110000001,339 - Constitucion,Autoservicio
1236,34,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Cl Nogoya 3235,-34.6040932,-58.4939129,34 - Villa Del Parque,Autoservicio
1237,342,15,1,Supermercados Dia,Dia Argentina S.A,Ar-B,Caa±Uelas,Av Libertad 1256,-35.050929,-58.76488739999999,342 - Caa±Uelas,Autoservicio
1238,344,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Av Corrientes 3534,-34.6039858,-58.414885,344 - Almagro,Autoservicio
1239,346,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Cl Gallo 1201,-34.5962353,-58.4115956,346 - Recoleta,Autoservicio
1240,347,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Av Eva Peron 5887,-34.66325629999999,-58.4887387,347 - Mataderos,Autoservicio
1241,348,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Av  General Paz 674,-34.64117,-58.52899300000001,348 - Liniers,Autoservicio
1242,349,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Humberto Primero 1696,-34.6214599,-58.3899576,349 - San Cristobal,Autoservicio
